Ineks;pierwsza;Druga;Trzecia;Czwarta;Cyfra
0;0.6327592444670469;0.14786628541100388;0.14590844790451865;0.14618520048423195;0
1;0.64138532318473207;0.13727488938738169;0.13692894866274008;0.14749603533814423;0
2;0.62566652463696226;0.32926825166375223;0.32620340383841384;0.32450361941301259;0
3;0.60747565237040213;0.35972038518152905;0.35156927372902741;0.34786490305056772;0
4;0.63805494247885797;0.19714320419887332;0.1886405421721413;0.18341777220498437;0
5;0.64490830872648786;0.18990275832961745;0.18442567518110237;0.19121359318352973;0
6;0.61606994194041764;0.36381370543147767;0.36918233148794294;0.37535690593533005;0
7;0.62199207315630944;0.40298354521022312;0.40732743874180405;0.39985885898927104;0
8;0.6414302019814424;0.2514951669147284;0.24723729107684211;0.2480264099189976;0
9;0.63102954084383878;0.21423080604630618;0.21342859755511021;0.22043716964136306;1
10;0.63537343437541971;0.42799786452660632;0.42426357465033981;0.42363153159667022;1
11;0.62776647833303001;0.46225721596530378;0.46436090956109738;0.46807836988859752;1
12;0.61821851433292141;0.26721022556277235;0.26430993332537156;0.26466148389960198;1
13;0.62589465852023951;0.27242177583075172;0.27552402265334869;0.25818771747414643;1
14;0.62199020320644649;0.46791568425052282;0.47016523393562482;0.45956448816268797;1
15;0.61741256594199967;0.5062477864906767;0.50311936036999882;0.50140087644596831;1
16;0.62778517783165932;0.33069689335902896;0.33409459225996851;0.32875588540131007;1
17;0.63663191063317004;0.34162675030784112;0.33911540764192927;0.3420792781746696;1
18;0.62646312327856946;0.54181797278328647;0.53418670739267871;0.53955159354941817;1
19;0.60234824984625446;0.55885508598442035;0.55559576337333738;0.5526244130411454;1
20;0.63991741254233392;0.40503675015971768;0.40019544996459799;0.39786736238525311;1
21;0.63257972928020578;0.37509511295452019;0.3709868331056681;0.37126545563524432;1
22;0.63762672396024755;0.59249735396835168;0.59171010507605915;0.58892200983043397;1
23;0.63852242994458985;0.63190280742982596;0.62877812120887389;0.62843218048423233;1
24;0.63597181833155658;0.41931194741330735;0.41654255166631154;0.41669775750493454;1
25;0.65247786577161893;0.42409340921281335;0.4222963873945399;0.40819322552833959;1
26;0.63184857888380108;0.62845087998286153;0.63012074521045591;0.61656360870423055;1
27;0.62969813654143436;0.66920643724536966;0.66952619867193031;0.67343439388544912;1
28;0.61655238900505294;0.43909414701321897;0.43924935285184197;0.43648556695443491;1
29;0.63789412679064617;0.4212548253208892;0.42000756876231649;0.41314485276537199;1
30;0.62265029550805995;0.66849772624732007;0.67200014234058358;0.65851032402942355;1
31;0.60619099681457078;0.63553798996335731;0.63884593127087641;0.61841859896825468;1
32;0.6292830076718644;0.44704704378025029;0.44869820950921541;0.43939707889101326;1
33;0.61354550962546528;0.4098387814077159;0.4053078928898422;0.40987805035483738;1
34;0.59493576858960928;0.56357296948858671;0.56606935255559521;0.56052308126215178;1
35;0.60646400949455825;0.61551830673085395;0.61312290095644362;0.61263297409235662;1
36;0.60881079657253245;0.41531025470664218;0.41610872329811233;0.41332623790207595;1
37;0.6363158891063353;0.3965621373809296;0.40001967467748278;0.39616009816040015;1
38;0.63067612031974551;0.59559773084108569;0.5921364536448066;0.59362867363542282;1
39;0.59313874677133582;0.5412158489274238;0.5442096386579709;0.53862596836726895;1
40;0.61166434006336001;0.37602821793612107;0.37014722561721358;0.37108594044840326;1
41;0.61895527457891497;0.39131879796528046;0.3877303641783223;0.37848159215628213;1
42;0.61186442469869329;0.55793320070199692;0.56055300045995859;0.55257953424443507;1
43;0.62242029167491986;0.57023934074992388;0.57041324608717614;0.5546570485421477;1
44;0.62699605898950383;0.33856377243236563;0.33620950555493967;0.33179268397870459;1
45;0.62575441228051987;0.32948703579771477;0.33161316879186353;0.33359344569670391;1
46;0.61892161548138225;0.54594682208063072;0.5479345787849228;0.54005648001240869;1
47;0.60613489831868295;0.51805464992520189;0.51864368413202411;0.53081892768954608;1
48;0.61322387824904168;0.33661715462505792;0.33840669664387968;0.33605616966617963;1
49;0.60779728374682562;0.27309495778140569;0.27706860124012694;0.26058873309814556;1
50;0.62570953348380964;0.48456571783003061;0.48658713363185541;0.47556377918989695;1
51;0.618850557386591;0.4991232775129224;0.49514215425474944;0.48389814572896545;1
52;0.63343803626728956;0.31109233899609551;0.30754130420639592;0.30779374743789112;1
53;0.60832460960817125;0.24452212387587119;0.24470724891230103;0.25067799882462899;1
54;0.61821477443319561;0.43521026114791828;0.43614336612951915;0.43117864924344623;1
55;0.60989723744289337;0.47734210150954115;0.47550768069400912;0.47033726932301417;1
56;0.6200529351484535;0.28075801231968317;0.27913302588879907;0.2776576354469491;1
57;0.62217906814260227;0.2337773919634889;0.23658792660746916;0.23921146626515666;1
58;0.60601148162772978;0.4971766597056147;0.49996475495123982;0.49762918757244318;1
59;0.60424624895712609;0.52711268706122349;0.53149771948978874;0.52785318720694274;1
60;0.61547529788400657;0.33100730503627496;0.327026181778102;0.32809392314983371;1
61;0.62217532824287636;0.29638705327403247;0.29806065840135271;0.28350309871846097;1
62;0.61914974936465939;0.42340713761311893;0.42114262832911353;0.42655613318228908;1
63;0.62224077648807885;0.45168638939017375;0.45193509272194315;0.45705688539650197;1
64;0.62545148040272558;0.27428798579395353;0.27059483481467139;0.2748975894492679;1
65;0.63982204509932461;0.22382925869271381;0.21595115992019961;0.22528033978634565;1
66;0.60927454413853854;0.3822233618320004;0.38149969123504734;0.3753531660356042;1
67;0.61754907228199341;0.38930860186263322;0.38775467352654036;0.37633862961336706;1
68;0.60932129288511172;0.23557254383189943;0.23223842322629945;0.22933065118944695;1
69;0.63634767825400507;0.18612358965664069;0.18188067341765785;0.17557707242972873;1
70;0.61902820262356917;0.34767790806427495;0.34641943180652468;0.33714635043626645;1
71;0.60800297823174776;0.36025332089246342;0.3596493270867378;0.34625487621858703;1
72;0.62279615159736834;0.18673319331195509;0.18462949971616149;0.18022950768869272;1
73;0.61418316252872363;0.149517451139969;0.14985217216543306;0.14848897871535879;1
74;0.62888657830092376;0.35708001597507522;0.35745587589752364;0.35300726517361875;1
75;0.62304859482886354;0.3407067349752807;0.34453826224441947;0.3366564235721794;1
76;0.62678288470513011;0.16550739241786333;0.1621022137174721;0.16173383359447535;1
77;0.65400748475949377;0.16633204030741444;0.1661057763740002;0.16802247498350104;1
78;0.60867990008212758;0.29307163216706172;0.29008906213569213;0.28678860062762485;1
79;0.62361518963733065;0.33411890160818658;0.33098673558778274;0.32724870581179039;1
80;0.63815404982159318;0.16045665783809576;0.16122894713148489;0.16084934730931055;1
81;0.64654077495682361;0.15493282594300747;0.15695798164455813;0.1631587353900262;1
82;0.64017546562341787;0.31328205028558376;0.31078192731884952;0.30985069228711154;1
83;0.61744061518994353;0.3521152990890023;0.3494431407348787;0.35027713837374441;1
84;0.65461708841480815;0.20850688951588464;0.20734191075128072;0.20015382347818683;1
85;0.62531497406273184;0.13002135386908534;0.12829165024587727;0.14167301146498751;1
86;0.61363900711861163;0.33231813989018727;0.33407028291175045;0.32842303432570896;1
87;0.61378299325805707;0.3755981294676477;0.3702482029098117;0.37466128458632098;1
88;0.63001602801813206;0.20518585855932514;0.20359827112569956;0.19994064919381307;1
89;0.66895773391360036;0.21470203341176394;0.21519757012543977;0.22458471843733657;1
90;0.60907445950320527;0.30426702199640959;0.31039484769722347;0.30618746050563628;1
91;0.61885242733645396;0.3966444151748984;0.39498202974675573;0.39789541163319703;1
92;0.63898243761087004;0.25986506250119257;0.259362045988065;0.26058499319841971;1
93;0.61809135774224233;0.16922111284563765;0.17273848853780457;0.15464111376439077;1
94;0.61597083459768243;0.38634660127975584;0.38296012207799385;0.38620635504003625;1
95;0.61923763700821699;0.40483479557452151;0.4009396900100432;0.38754336919202953;1
96;0.62591522796873167;0.2338989387045792;0.23118938135319703;0.22646962789916764;1
97;0.62016326219036622;0.23361844622514005;0.22973830025956518;0.23512188591493388;1
98;0.62267834475600392;0.42647198543845732;0.42428227414896907;0.42900389755286139;1
99;0.61783517461102133;0.41079058588794609;0.41326452955659937;0.39653782803271154;1
100;0.60207149726654119;0.21636067894018077;0.21571180633774487;0.21732183316972559;1
101;0.60357680690619797;0.21623726224922754;0.22077002071696417;0.22925024334534105;1
102;0.62604051460954779;0.43483253127560684;0.43606295828541325;0.43740745223685823;1
103;0.60465950787683309;0.41858640686649146;0.41608441394989426;0.3998027604933832;1
104;0.62223142673876419;0.26806292270026738;0.26867252635558175;0.26668102975156383;1
105;0.63491529665900248;0.26984872481936328;0.26819007929094646;0.26802552370300881;1
106;0.60495869985490147;0.40961064752443871;0.41376006627027517;0.41068586869562212;1
107;0.60900714130813982;0.45732989807648944;0.45325901722489592;0.44549498539402033;1
108;0.62380031467376051;0.26754120668851056;0.26794324590904001;0.26800682420437955;1
109;0.64235208726386572;0.26768145292823015;0.26428188407742764;0.27544735470896864;1
110;0.62025301978378677;0.43969253096935584;0.4391352859102034;0.43704655191331321;1
111;0.60561879215651493;0.45654638908392275;0.45594052532833418;0.46669460699003107;1
112;0.63139231111724681;0.27558760094868823;0.26992165286401743;0.26827422703477816;1
113;0.65286868529297082;0.29831310163284797;0.29873945020159542;0.28587606509451613;1
114;0.62852193807765278;0.42071814971022897;0.41844803057663482;0.41344965459302918;1
115;0.61374185436107265;0.43511863360463482;0.42934796832764005;0.41478666874502246;1
116;0.62767485078974661;0.28787504149798582;0.2901862995285644;0.28349748886887216;1
117;0.63609149512278396;0.25710688645337426;0.25648606309888228;0.26158541637508598;1
